"Geographic name","Incompletely enumerated Indian reserves and Indian settlements","Population","Total private dwellings","Private dwellings occupied by usual residents"
T3E,,36794,17444,16694
T3G,,52875,19295,18696
T3H,,49821,18872,18014
T3J,,51464,15493,14887
T3K,,59375,21311,20435
T3L,,25290,8780,8601
T3M,,5771,2298,2091
T3N,,66,25,19
T3P,,3161,1158,1084
T3R,,6473,2091,1995
T3Z,,8766,2815,2685
T4A,,8048,2717,2641
T4B,,22988,8798,8167
T4C,,17983,6645,6357
T4E,,836,288,278
T4G,,11115,4116,4016
T4H,,9716,4084,3885
T4J,,10364,4048,3921
T4L,,15138,5635,5391
T4N,,35122,15671,15072
T4P,,24054,9474,9053
T4R,,27615,10216,9935
T4S,,15432,6623,5566
T4T,,13990,5401,5149
T4V,,17369,7596,7358
T4X,,9038,2887,2821
T5A,,32689,13161,12505
T5B,,15564,7677,7039
T5C,,16353,6502,6296
T5E,,29865,12136,11558
T5G,,12141,6261,5657
T5H,,25803,14766,13398
T5J,,3816,2596,2129
T5K,,21781,15391,14269
T5L,,16584,7114,6830
T5M,,14503,7860,7420
T5N,,14490,7468,7099
T5P,,19825,9536,9032
T5R,,24718,10334,10079
T5S,,2911,1227,1181
T5T,,54861,22273,21246
T5V,,164,65,61
T5W,,20780,8847,8479
T5X,,34907,12844,12386
T5Y,,27185,10422,9739
T5Z,,23073,7327,7143
T6A,,14893,6627,6351
T6B,,9062,4126,3839
T6C,,19024,9570,9094
T6E,,21866,12943,11942
T6G,,11925,6794,5928
T6H,,30498,13618,12856
T6J,,46569,18987,18495
T6K,,29163,10450,10198
T6L,,52336,18017,17540
T6M,,14396,4856,4650
T6N,,10,3,3
T6P,,1645,757,724
T6R,,26857,9329,9108
T6S,,37,14,12
T6T,,15152,4758,4563
T6V,,11571,4074,3762
T6W,,10620,4460,4067
T6X,,6367,2490,2357
T7A,,11836,4405,4275
T7E,,11883,4652,4452
T7N,,7508,3095,2918
T7P,,7654,3054,2925
T7S,,11437,4316,4119
T7V,,10453,4188,3932
T7X,,28649,10208,9848
T7Y,,6196,2133,2077
T7Z,,20368,7565,7311
T8A,,43580,15396,15153
T8B,,5562,1841,1791
T8C,,4124,1407,1380
T8E,,7868,2733,2661
T8G,,4784,1762,1659
T8H,,15961,5875,5747
T8L,,17354,6699,6503
T8N,,61518,22197,21810
T8R,,10614,3575,3446
T8S,,8162,3212,3053
T8V,,35429,14092,13609
